PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,830,04/26/23,DAVAO CONCRETE POLES CORPORATION,"POLOSHIRTS COMBI W/ POCKET, 25@480; POLOSHIRTS COMBI NO POCKET, 25@480",,"24,000.00",
,831,04/27/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"TURQUOISE BLUE, 31@240",181228,"7,440.00",
,832,04/27/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"WHITE TSHIRT NIGHTINGALES, 48@240",181229,"11,520.00",
,833,04/27/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT COMBI YELLOW/GREEN EMBROIDERY, 75@405",178580,"30,375.00",
,834,04/27/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"WHITE TRIFIT, 28@180",181225,"5,040.00",
,835,04/28/23,UNION GALVASTEEL CORPORATION,"POLOSHIRT - GOLD YELLOW, 18@380",,"6,840.00",
,836,04/29/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"HANGING DROP TARPAULIN PTV ETQ 3 X 4 FT, 10@216; HANGING DROP TARPAULIN PTV VIDEO 3 X 4 FT, 24@216; CAP, 30@280; COURTFLOOR 986 X 264 CM, 2@1490",,"18,724.00",
,837,05/02/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TIVO TARP ROLLUP BANNER W/O STAND, 10@450; TIVO STAGE GLASS STICKER CUT OUT COLOR SILVER, 1@1500",,"6,500.00",CANCELLED
,838,05/03/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"TUMBLER - BLACK, 12 SETS@330",181645,"3,960.00",
,839,05/04/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"VAN DRESS UP, 1LOT@33000",,"33,000.00",
,840,05/04/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"VAN MATTING, 1LOT@8500",111353,"8,500.00",
,841,05/04/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TIVO TARP ROLLUP BANNER W/O STAND, 10@450",,"4,500.00",DR#: 1667
,842,05/05/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"BIRTHDAY & TOP PERFORMER SINTRA, 2@2850",,"5,700.00",
,843,05/09/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"CUSTOMIZED MUG, 230@60",,"13,800.00",
,844,05/10/23,PSA XI (DAVAO REGION),"ARM SLEEVE SUBLIMATION, 257@148; SHOE LACE COLOR WHITE, 50@24",SOCD-2023-03-19,"39,236.00",
,845,05/12/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"MUG WITH BOX, 30@60",,"1,800.00",
,846,05/15/23,JEWM AGRO-INDUSTRIAL CORPORATION,"ID LANYARD, 50@65",26054,"3,250.00",
,847,05/12/23,PHILHEALTH XI,TARPAULINS,23-04-057,"8,396.00",
,848,05/18/23,DMSFI,"TARPAULIN 7 X 21 FT MED. ETHICS, 1@2205",,"2,205.00",
